city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month
DAMMAM,HM No  52270  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,LARA,SUNFLOWER,1.8L,LARA SUNFLOWER 1.8L PREMIUM,81-90,2022,2
TABUK,HM No  75101  GS-CENTER-TABUK MAIN RD  TABUK,SAHARA EDIBLES,RAWABI,COCONUT,4.5L,RAWABI COCONUT 4.5L PREMIUM,41-50,2024,9
RIYADH,HM No  75067  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,SABAYA,VEGETABLE,10L,SABAYA VEGETABLE 10L ECO,61-70,2024,9
HAIL,HM No  75452  GS-CENTER-HAIL MAIN RD  HAIL,NAJDI CONSUMER,GULF GOLD,CANOLA,1.5L,GULF GOLD CANOLA 1.5L PREMIUM,41-50,2022,5
RIYADH,HM No  80912  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,RIMAL,COCONUT,0.6L,RIMAL COCONUT 0.6L,41-50,2024,4
TABUK,HM No  84975  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,HILAL,VEGETABLE,10L,HILAL VEGETABLE 10L ECO,61-70,2022,3
TAIF,HM No  88831  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NOUR,VEGETABLE,0.2L,NOUR VEGETABLE 0.2L FAMILY PACK,61-70,2024,10
DAMMAM,HM No  86903  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,SABAYA,VEGETABLE,1L,SABAYA VEGETABLE 1L TWIN PACK,81-90,2022,2
RIYADH,HM No  65245  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,NAJMA,VEGETABLE,2.9L,NAJMA VEGETABLE 2.9L,61-70,2024,4
DAMMAM,HM No  72331  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,NOUR,CANOLA,0.2L,NOUR CANOLA 0.2L TWIN PACK,101+,2024,3
JEDDAH,HM No  84491  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,ZAHRA,CORN,9L,ZAHRA CORN 9L FAMILY PACK,71-80,2024,2
HAIL,HM No  69776  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,GULF GOLD,COCONUT,9L,GULF GOLD COCONUT 9L ECO,81-90,2024,6
DAMMAM,HM No  96345  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,HILAL,VEGETABLE,0.6L,HILAL VEGETABLE 0.6L ECO,51-60,2024,12
TABUK,HM No  58345  GS-CENTER-TABUK MAIN RD  TABUK,SAHARA EDIBLES,NAJMA,VEGETABLE,1.8L,NAJMA VEGETABLE 1.8L PREMIUM,11-20$,2022,10
HAIL,HM No  90067  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,RIMAL,CANOLA,2.9L,RIMAL CANOLA 2.9L TWIN PACK,61-70,2024,2
TAIF,HM No  72728  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,GULF GOLD,CANOLA,9L,GULF GOLD CANOLA 9L FAMILY PACK,61-70,2023,1
TABUK,HM No  63741  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,ZAHRA,CORN,1L,ZAHRA CORN 1L,11-20$,2022,7
YANBU,HM No  98010  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,GULF GOLD,SUNFLOWER,2.9L,GULF GOLD SUNFLOWER 2.9L ECO,61-70,2024,7
JEDDAH,HM No  81423  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,GULF GOLD,SUNFLOWER,0.5L,GULF GOLD SUNFLOWER 0.5L,51-60,2022,6
TABUK,HM No  56863  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,NOUR,COCONUT,1.8L,NOUR COCONUT 1.8L TWIN PACK,21-30,2024,2
HAIL,HM No  88930  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,NAJMA,SUNFLOWER,4.5L,NAJMA SUNFLOWER 4.5L TWIN PACK,101+,2023,3
RIYADH,HM No  56636  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,HILAL,COCONUT,1.8L,HILAL COCONUT 1.8L FAMILY PACK,91-100,2024,12
AL KHARJ,HM No  67384  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,LARA,COCONUT,0.5L,LARA COCONUT 0.5L,71-80,2024,9
YANBU,HM No  60065  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,NOUR,CANOLA,1.8L,NOUR CANOLA 1.8L,51-60,2024,11
AL AHSA,HM No  81478  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,ZAHRA,CANOLA,0.75L,ZAHRA CANOLA 0.75L TWIN PACK,51-60,2022,8
JEDDAH,HM No  70208  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,SABAYA,SUNFLOWER,4.5L,SABAYA SUNFLOWER 4.5L PLUS,21-30,2024,9
JAZAN,HM No  62116  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,RAWABI,CORN,0.6L,RAWABI CORN 0.6L ECO,11-20$,2023,8
YANBU,HM No  67262  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,LARA,VEGETABLE,0.2L,LARA VEGETABLE 0.2L TWIN PACK,21-30,2022,11
HAIL,HM No  85484  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,RIMAL,COCONUT,3L,RIMAL COCONUT 3L,71-80,2024,7
AL KHARJ,HM No  95027  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,RIMAL,COCONUT,2.9L,RIMAL COCONUT 2.9L PLUS,21-30,2023,12
RIYADH,HM No  82905  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,ZAHRA,SUNFLOWER,0.6L,ZAHRA SUNFLOWER 0.6L TWIN PACK,41-50,2022,3
RIYADH,HM No  77746  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,RAWABI,COCONUT,4.5L,RAWABI COCONUT 4.5L TWIN PACK,101+,2023,6
MAKKAH,HM No  54391  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,RAWABI,VEGETABLE,1.8L,RAWABI VEGETABLE 1.8L PREMIUM,61-70,2023,9
YANBU,HM No  50810  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,ZAHRA,SUNFLOWER,0.6L,ZAHRA SUNFLOWER 0.6L TWIN PACK,101+,2024,10
JEDDAH,HM No  56922  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,LARA,VEGETABLE,1.5L,LARA VEGETABLE 1.5L ECO,51-60,2023,11
YANBU,HM No  87488  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,NAJMA,COCONUT,1L,NAJMA COCONUT 1L ECO,31-40,2024,10
AL BAHA,HM No  95459  GS-CENTER-AL BAHA MAIN RD  AL BAHA,PALM & GRAIN GROUP,NAJMA,SUNFLOWER,1.5L,NAJMA SUNFLOWER 1.5L FAMILY PACK,41-50,2022,12
YANBU,HM No  67601  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,NAJMA,CORN,10L,NAJMA CORN 10L PLUS,51-60,2023,8
MAKKAH,HM No  94882  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,HILAL,COCONUT,1L,HILAL COCONUT 1L FAMILY PACK,81-90,2023,5
MAKKAH,HM No  77313  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,HILAL,SUNFLOWER,0.75L,HILAL SUNFLOWER 0.75L ECO,81-90,2024,6
RIYADH,HM No  83768  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,ZAHRA,CORN,9L,ZAHRA CORN 9L PREMIUM,71-80,2022,9
AL AHSA,HM No  51897  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,HILAL,COCONUT,0.2L,HILAL COCONUT 0.2L TWIN PACK,11-20$,2023,1
HAIL,HM No  96178  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,LARA,CORN,2.9L,LARA CORN 2.9L PREMIUM,71-80,2024,2
AL BAHA,HM No  52002  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,NOUR,SUNFLOWER,4L,NOUR SUNFLOWER 4L ECO,31-40,2023,10
AL KHARJ,HM No  72921  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,DESERT SUN CO,GULF GOLD,CORN,9L,GULF GOLD CORN 9L FAMILY PACK,21-30,2023,1
JAZAN,HM No  53253  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,RIMAL,COCONUT,0.75L,RIMAL COCONUT 0.75L FAMILY PACK,41-50,2024,4
TABUK,HM No  92702  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,BAYTNA,CANOLA,10L,BAYTNA CANOLA 10L FAMILY PACK,11-20$,2023,3
AL BAHA,HM No  61350  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,HILAL,CORN,4L,HILAL CORN 4L PLUS,51-60,2023,7
HAIL,HM No  80080  GS-CENTER-HAIL MAIN RD  HAIL,NAJDI CONSUMER,HILAL,SUNFLOWER,1L,HILAL SUNFLOWER 1L FAMILY PACK,91-100,2024,7
AL AHSA,HM No  56705  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,BAYTNA,CORN,3L,BAYTNA CORN 3L FAMILY PACK,101+,2024,5
TABUK,HM No  94853  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L PLUS,61-70,2023,5
AL BAHA,HM No  96602  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,HILAL,COCONUT,3L,HILAL COCONUT 3L TWIN PACK,11-20$,2024,7
AL BAHA,HM No  70944  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,NAJMA,SUNFLOWER,1L,NAJMA SUNFLOWER 1L PLUS,71-80,2023,7
MAKKAH,HM No  52314  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,NOUR,COCONUT,4.5L,NOUR COCONUT 4.5L PREMIUM,81-90,2024,6
AL KHARJ,HM No  69673  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,BAYTNA,COCONUT,1L,BAYTNA COCONUT 1L,81-90,2022,12
TABUK,HM No  97525  GS-CENTER-TABUK MAIN RD  TABUK,SAHARA EDIBLES,NOUR,CANOLA,0.75L,NOUR CANOLA 0.75L PLUS,41-50,2024,5
JAZAN,HM No  71713  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,LARA,VEGETABLE,1L,LARA VEGETABLE 1L ECO,21-30,2023,1
AL BAHA,HM No  88245  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,SABAYA,COCONUT,3L,SABAYA COCONUT 3L,71-80,2024,5
JAZAN,HM No  53543  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,GULF GOLD,COCONUT,1.5L,GULF GOLD COCONUT 1.5L ECO,101+,2023,3
HAIL,HM No  96902  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,ZAHRA,SUNFLOWER,1.5L,ZAHRA SUNFLOWER 1.5L FAMILY PACK,31-40,2023,11
RIYADH,HM No  50308  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,LARA,COCONUT,10L,LARA COCONUT 10L TWIN PACK,101+,2022,8
JEDDAH,HM No  58480  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,RAWABI,SUNFLOWER,1.8L,RAWABI SUNFLOWER 1.8L ECO,71-80,2022,1
AL KHARJ,HM No  63068  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,DESERT SUN CO,NAJMA,CORN,10L,NAJMA CORN 10L PREMIUM,41-50,2022,11
RIYADH,HM No  91070  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,HILAL,CORN,1L,HILAL CORN 1L TWIN PACK,21-30,2023,9
AL AHSA,HM No  70061  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,ZAHRA,CANOLA,1L,ZAHRA CANOLA 1L PLUS,81-90,2024,9
AL AHSA,HM No  84348  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,RAWABI,COCONUT,1.5L,RAWABI COCONUT 1.5L ECO,61-70,2022,3
JAZAN,HM No  51253  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,HILAL,COCONUT,0.75L,HILAL COCONUT 0.75L FAMILY PACK,11-20$,2024,9
DAMMAM,HM No  58071  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NAJMA,SUNFLOWER,4.5L,NAJMA SUNFLOWER 4.5L PLUS,91-100,2024,1
AL AHSA,HM No  53143  GS-CENTER-AL AHSA MAIN RD  AL AHSA,ARABIAN HARVEST CO,NAJMA,CANOLA,9L,NAJMA CANOLA 9L,71-80,2023,7
JEDDAH,HM No  85866  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,SABAYA,COCONUT,0.75L,SABAYA COCONUT 0.75L FAMILY PACK,11-20$,2023,7
AL BAHA,HM No  56617  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,RIMAL,VEGETABLE,9L,RIMAL VEGETABLE 9L TWIN PACK,71-80,2022,9
MAKKAH,HM No  90481  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,LARA,CANOLA,10L,LARA CANOLA 10L,81-90,2022,10
TAIF,HM No  67235  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,NOUR,SUNFLOWER,1L,NOUR SUNFLOWER 1L TWIN PACK,11-20$,2024,8
TAIF,HM No  95102  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,NOUR,COCONUT,0.2L,NOUR COCONUT 0.2L,21-30,2022,10
AL BAHA,HM No  82381  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,ZAHRA,VEGETABLE,0.5L,ZAHRA VEGETABLE 0.5L FAMILY PACK,21-30,2023,11
TAIF,HM No  79933  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,LARA,SUNFLOWER,0.2L,LARA SUNFLOWER 0.2L,31-40,2022,5
HAIL,HM No  94352  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,RAWABI,CANOLA,0.5L,RAWABI CANOLA 0.5L,11-20$,2022,11
AL BAHA,HM No  61174  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,NOUR,SUNFLOWER,4L,NOUR SUNFLOWER 4L PLUS,21-30,2023,6
DAMMAM,HM No  57460  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,RAWABI,SUNFLOWER,1L,RAWABI SUNFLOWER 1L ECO,81-90,2023,11
DAMMAM,HM No  57409  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,NAJMA,COCONUT,0.5L,NAJMA COCONUT 0.5L ECO,101+,2023,10
AL BAHA,HM No  78715  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,RIMAL,SUNFLOWER,10L,RIMAL SUNFLOWER 10L PLUS,101+,2022,11
MAKKAH,HM No  58562  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,SABAYA,CANOLA,1.8L,SABAYA CANOLA 1.8L ECO,11-20$,2022,5
AL BAHA,HM No  70593  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,BAYTNA,VEGETABLE,9L,BAYTNA VEGETABLE 9L PREMIUM,41-50,2024,6
AL KHARJ,HM No  84282  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,RAWABI,COCONUT,2.9L,RAWABI COCONUT 2.9L PLUS,71-80,2022,9
AL AHSA,HM No  53576  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,GULF GOLD,VEGETABLE,2.9L,GULF GOLD VEGETABLE 2.9L ECO,31-40,2022,8
HAIL,HM No  65787  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,LARA,CANOLA,3L,LARA CANOLA 3L TWIN PACK,91-100,2024,7
JAZAN,HM No  65400  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L PREMIUM,81-90,2022,8
YANBU,HM No  70713  GS-CENTER-YANBU MAIN RD  YANBU,ARABIAN HARVEST CO,SABAYA,CANOLA,0.5L,SABAYA CANOLA 0.5L ECO,71-80,2022,9
AL KHARJ,HM No  50011  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L PLUS,91-100,2024,4
AL BAHA,HM No  94005  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,NOUR,CORN,0.2L,NOUR CORN 0.2L TWIN PACK,81-90,2023,9
AL AHSA,HM No  89318  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,NOUR,SUNFLOWER,0.5L,NOUR SUNFLOWER 0.5L,41-50,2022,6
HAIL,HM No  91527  GS-CENTER-HAIL MAIN RD  HAIL,NAJDI CONSUMER,BAYTNA,VEGETABLE,1.5L,BAYTNA VEGETABLE 1.5L FAMILY PACK,21-30,2022,3
YANBU,HM No  59204  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,ZAHRA,CORN,4L,ZAHRA CORN 4L TWIN PACK,41-50,2022,7
TAIF,HM No  79952  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,NOUR,CANOLA,10L,NOUR CANOLA 10L ECO,11-20$,2024,11
AL AHSA,HM No  58075  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,SABAYA,VEGETABLE,3L,SABAYA VEGETABLE 3L TWIN PACK,81-90,2022,9
MAKKAH,HM No  53183  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,RIMAL,SUNFLOWER,3L,RIMAL SUNFLOWER 3L TWIN PACK,101+,2022,12
DAMMAM,HM No  56786  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,RIMAL,VEGETABLE,1.5L,RIMAL VEGETABLE 1.5L PREMIUM,71-80,2023,10
MAKKAH,HM No  99962  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,LARA,SUNFLOWER,1.5L,LARA SUNFLOWER 1.5L PLUS,81-90,2022,3
JAZAN,HM No  89487  GS-CENTER-JAZAN MAIN RD  JAZAN,NAJDI CONSUMER,BAYTNA,CORN,9L,BAYTNA CORN 9L FAMILY PACK,91-100,2024,4
TAIF,HM No  63743  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,NOUR,COCONUT,9L,NOUR COCONUT 9L FAMILY PACK,31-40,2024,9
MAKKAH,HM No  91738  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,ZAHRA,CORN,3L,ZAHRA CORN 3L ECO,101+,2024,11
MAKKAH,HM No  77359  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RAWABI,CANOLA,3L,RAWABI CANOLA 3L,11-20$,2023,3
RIYADH,HM No  93925  GS-CENTER-RIYADH MAIN RD  RIYADH,NOVA FOODS,HILAL,CORN,10L,HILAL CORN 10L TWIN PACK,51-60,2024,5
DAMMAM,HM No  54065  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,HILAL,VEGETABLE,0.2L,HILAL VEGETABLE 0.2L PLUS,81-90,2022,10
AL BAHA,HM No  98463  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,0.75L,BAYTNA SUNFLOWER 0.75L PREMIUM,51-60,2024,11
RIYADH,HM No  75007  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,RAWABI,CORN,3L,RAWABI CORN 3L,11-20$,2024,5
TAIF,HM No  90669  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,HILAL,CORN,10L,HILAL CORN 10L PREMIUM,91-100,2024,10
TAIF,HM No  97507  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,LARA,SUNFLOWER,0.6L,LARA SUNFLOWER 0.6L FAMILY PACK,21-30,2022,3
MAKKAH,HM No  83675  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,RAWABI,CANOLA,1.8L,RAWABI CANOLA 1.8L PLUS,91-100,2023,3
DAMMAM,HM No  88272  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,NAJMA,CORN,2.9L,NAJMA CORN 2.9L FAMILY PACK,31-40,2022,3
HAIL,HM No  89117  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,RIMAL,CORN,2.9L,RIMAL CORN 2.9L PREMIUM,91-100,2023,2
MAKKAH,HM No  70831  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,GULF GOLD,VEGETABLE,0.5L,GULF GOLD VEGETABLE 0.5L PREMIUM,31-40,2023,9
AL KHARJ,HM No  76438  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,NOUR,COCONUT,0.75L,NOUR COCONUT 0.75L FAMILY PACK,61-70,2023,6
TABUK,HM No  64316  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,BAYTNA,CANOLA,0.5L,BAYTNA CANOLA 0.5L FAMILY PACK,61-70,2023,4
AL BAHA,HM No  90219  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,NAJMA,CORN,1.8L,NAJMA CORN 1.8L,71-80,2023,9
MAKKAH,HM No  68535  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,BAYTNA,CORN,3L,BAYTNA CORN 3L PREMIUM,81-90,2023,1
TABUK,HM No  92698  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NOUR,VEGETABLE,0.5L,NOUR VEGETABLE 0.5L,31-40,2024,9
RIYADH,HM No  91086  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,HILAL,COCONUT,4.5L,HILAL COCONUT 4.5L ECO,21-30,2022,9
MAKKAH,HM No  98586  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,ZAHRA,COCONUT,0.2L,ZAHRA COCONUT 0.2L ECO,61-70,2022,2
JEDDAH,HM No  53556  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,LARA,VEGETABLE,0.5L,LARA VEGETABLE 0.5L PREMIUM,41-50,2023,7
JAZAN,HM No  79564  GS-CENTER-JAZAN MAIN RD  JAZAN,PALM & GRAIN GROUP,RAWABI,CORN,0.2L,RAWABI CORN 0.2L ECO,21-30,2024,1
AL BAHA,HM No  97204  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,RIMAL,CANOLA,9L,RIMAL CANOLA 9L,61-70,2024,2
TABUK,HM No  94949  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,RIMAL,CANOLA,1L,RIMAL CANOLA 1L ECO,71-80,2023,11
RIYADH,HM No  81063  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,BAYTNA,COCONUT,0.6L,BAYTNA COCONUT 0.6L FAMILY PACK,71-80,2024,5
AL BAHA,HM No  59442  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,NOUR,CANOLA,3L,NOUR CANOLA 3L PREMIUM,31-40,2022,1
RIYADH,HM No  87533  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,BAYTNA,VEGETABLE,0.5L,BAYTNA VEGETABLE 0.5L PLUS,41-50,2024,12
MAKKAH,HM No  72534  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,RAWABI,VEGETABLE,0.6L,RAWABI VEGETABLE 0.6L TWIN PACK,31-40,2022,10
TABUK,HM No  62735  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,GULF GOLD,VEGETABLE,0.2L,GULF GOLD VEGETABLE 0.2L PREMIUM,81-90,2024,9
JEDDAH,HM No  69048  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,LARA,CANOLA,0.75L,LARA CANOLA 0.75L FAMILY PACK,101+,2023,6
HAIL,HM No  58402  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,ZAHRA,CORN,4L,ZAHRA CORN 4L,41-50,2023,8
YANBU,HM No  71518  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,COCONUT,4L,RIMAL COCONUT 4L PREMIUM,61-70,2023,7
DAMMAM,HM No  50316  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,HILAL,COCONUT,9L,HILAL COCONUT 9L FAMILY PACK,71-80,2023,6
DAMMAM,HM No  94536  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,SABAYA,SUNFLOWER,2.9L,SABAYA SUNFLOWER 2.9L PLUS,51-60,2023,9
JEDDAH,HM No  61519  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,LARA,COCONUT,3L,LARA COCONUT 3L TWIN PACK,51-60,2024,11
JEDDAH,HM No  97672  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,NAJMA,VEGETABLE,4.5L,NAJMA VEGETABLE 4.5L,101+,2024,7
AL AHSA,HM No  63943  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,BAYTNA,CORN,3L,BAYTNA CORN 3L PREMIUM,81-90,2024,3
HAIL,HM No  75722  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,RIMAL,CORN,0.6L,RIMAL CORN 0.6L ECO,91-100,2024,2
JAZAN,HM No  73846  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,HILAL,VEGETABLE,4.5L,HILAL VEGETABLE 4.5L TWIN PACK,91-100,2022,8
DAMMAM,HM No  61740  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,SABAYA,CORN,0.2L,SABAYA CORN 0.2L TWIN PACK,81-90,2022,2
TABUK,HM No  74211  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NAJMA,COCONUT,3L,NAJMA COCONUT 3L PLUS,71-80,2023,8
RIYADH,HM No  52615  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,ZAHRA,VEGETABLE,4.5L,ZAHRA VEGETABLE 4.5L PLUS,51-60,2024,9
AL AHSA,HM No  61393  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,RAWABI,CORN,4L,RAWABI CORN 4L FAMILY PACK,21-30,2024,5
